2020-01-09T17:55:36.584-0500 I NETWORK  [js] Starting new replica set monitor for prod-cluster-shard-0/prod-cluster-shard-00-00-v4dbc.mongodb.net:27017,prod-cluster-shard-00-01-v4dbc.mongodb.net:27017,prod-cluster-shard-00-02-v4dbc.mongodb.net:27017
2020-01-09T17:55:36.964-0500 I NETWORK  [ReplicaSetMonitor-TaskExecutor] Successfully connected to prod-cluster-shard-00-01-v4dbc.mongodb.net:27017 (1 connections now open to prod-cluster-shard-00-01-v4dbc.mongodb.net:27017 with a 5 second timeout)
2020-01-09T17:55:36.967-0500 I NETWORK  [js] Successfully connected to prod-cluster-shard-00-00-v4dbc.mongodb.net:27017 (1 connections now open to prod-cluster-shard-00-00-v4dbc.mongodb.net:27017 with a 5 second timeout)
2020-01-09T17:55:37.241-0500 I NETWORK  [ReplicaSetMonitor-TaskExecutor] Successfully connected to prod-cluster-shard-00-02-v4dbc.mongodb.net:27017 (1 connections now open to prod-cluster-shard-00-02-v4dbc.mongodb.net:27017 with a 5 second timeout)
deleted-2019-11-27-jeremy2, U01881147 > deleted-2020-01-09-U01881147
deleted-2019-11-27-seunghee, U01939585 > deleted-2020-01-09-U01939585
deleted-2019-11-27-crevell, U01939981 > deleted-2020-01-09-U01939981
deleted-2019-11-27-hxw, U01962705 > deleted-2020-01-09-U01962705
deleted-2019-11-27-whitemsw, U01973884 > deleted-2020-01-09-U01973884
deleted-2019-11-27-jcstokes, U01995565 > deleted-2020-01-09-U01995565
deleted-2019-11-27-yukawak, U01999002 > deleted-2020-01-09-U01999002
deleted-2019-11-27-kachu, U02018946 > deleted-2020-01-09-U02018946
deleted-2019-11-27-sanaulah, U02022581 > deleted-2020-01-09-U02022581
deleted-2019-11-27-neha2190, U02044659 > deleted-2020-01-09-U02044659
deleted-2019-11-27-hehuiwen, U02049960 > deleted-2020-01-09-U02049960
deleted-2019-11-27-sophiasf, U02068095 > deleted-2020-01-09-U02068095
deleted-2019-11-27-alicecui, U02074511 > deleted-2020-01-09-U02074511
deleted-2019-11-27-mahdiulc, U02102096 > deleted-2020-01-09-U02102096
deleted-2019-11-27-gblerner, U02104896 > deleted-2020-01-09-U02104896
deleted-2019-11-27-mcardozo, U02126162 > deleted-2020-01-09-U02126162
deleted-2019-11-27-hayaton, U02136035 > deleted-2020-01-09-U02136035
deleted-2019-11-27-nperaica, U02136170 > deleted-2020-01-09-U02136170
deleted-2019-11-27-ivyk, U02144658 > deleted-2020-01-09-U02144658
deleted-2019-11-27-mclellan, U02169462 > deleted-2020-01-09-U02169462
deleted-2019-11-27-abeffgen, U02170794 > deleted-2020-01-09-U02170794
deleted-2019-11-27-chelyuan, U02219376 > deleted-2020-01-09-U02219376
